"","V1","V2","V3"
"(Intercept)",0.0295096012135515,0.028331482335553,0.0307367102599519
"Kilometres1",1.47495211835967,1.36215731041712,1.59708701397162
"Kilometres2",0.916648056388991,0.86973562992108,0.966090879084669
"Kilometres4",1.14064767094522,1.08004215758826,1.20465400363452
"Kilometres5",1.24318030218035,1.15503759794369,1.33804931240391
"Zone5",1.22171742323515,1.17068509807464,1.27497434168345
"Zone7",0.810584989605432,0.727694355846606,0.902917578093929
"Bonus6",1.29931650785683,1.23371542539511,1.36840583560718
"Make2&5",1.18729212409132,1.0917906527715,1.29114733154277
"Make4",0.610744568557914,0.494553559302514,0.754233633560459
"Make6",0.777758872031005,0.704182994360695,0.85902225396982
